Input Decimal,Input Binario,Resultado Binario,Resultado Decimal,Tiempo Ejecucion (ms)
121,1111001,11100101011111100100000101011110111111110110001000101110010011010101100101101010001,8670007398507948658051921,45.64404487609863
122,1111010,101110011010100111110100011110110101000111010100100110001011111101101101010011110001,14028366653498915298923761,92.70262718200684
123,1111011,1001011000110100100010101001010101101000110000101101011111110011000011010000001000010,22698374052006863956975682,77.45862007141113
124,1111100,1111001100001001100001001101001100010001101011010010010001010010110000111010100110011,36726740705505779255899443,72.55673408508301
125,1111101,11000100100111110000011110110100001111010011011111111110001000101110100001010101110101,59425114757512643212875125,60.73188781738281
126,1111110,100111110001000111100101000011101110001100000111010010000010011000100101000101010101000,96151855463018422468774568,62.54100799560547
127,1111111,1000000010110000101101000111010010000000110100011010001110011011110011001010000000011101,155576970220531065681649693,57.56258964538574
128,10000000,1101000000111001101001101111101111110010010101010100011110101110110111110010101011000101,251728825683549488150424261,60.36114692687988
129,10000001,10101000011101010010110110111000001110011001001101110101101001010101010111100101011100010,407305795904080553832073954,53.87520790100098
130,10000010,100010000100100100000000100110110001100101011111000011001011111001100010101111010110100111,659034621587630041982498215,65.90414047241211
131,10000011,110111001000001110010111011101110011011000101000110001111001000100001101101100000010001001,1066340417491710595814572169,55.100202560424805
132,10000100,1011001001100110010011000000100100100111110000111110101000100111101110000011011011000110000,1725375039079340637797070384,56.874752044677734
133,10000101,10010000010101000000101111100010011000010110110000100110111110000001111110000111011010111001,2791715456571051233611642553,76.84087753295898
134,10000110,11101001100001110011000111100110111101010100111000011100000010111111101110100010110011101001,4517090495650391871408712937,59.181928634643555
135,10000111,101111001110110110011110111001001010101101011101001000011000001000001101100101010001110100010,7308805952221443105020355490,63.78340721130371
136,10001000,1001100011011000100110111110110000010011000000100001011111000100000001011011001101000010001011,11825896447871834976429068427,60.02306938171387
137,10001001,1111011101001111011010110101111001101000101100001010100010000101000011000111110111010000101101,19134702400093278081449423917,72.01337814331055
138,10001010,11001000000101000000001110100101001111011101100101100000001001001000100100011000100010010111000,30960598847965113057878492344,75.07514953613281
139,10001011,101000011101110111011100101010100011100100011000110110100011001110000111101010111011100011100101,50095301248058391139327916261,80.28793334960938
140,10001100,1000001011110011111011110011111001101100000000101100010100100010111001100001101111111110110011101,81055900096023504197206408605,76.63559913635254
141,10001101,1101001111100010110111011001001110001000100011110011001000111100101010011111000111011011010000010,131151201344081895336534324866,76.0185718536377
142,10001110,10101011011010110110011001101000111110100100100011111011101011111100100000000110111011010000011111,212207101440105399533740733471,86.2123966217041
143,10001111,100010101010111001101010100110010101111101001000010010100110011100001110011111111110110101010100001,343358302784187294870275058337,79.72311973571777
144,10010000,111000000110010000011101110011011101110001101100110010000011111011110010100000110110001111011000000,555565404224292694404015791808,78.56059074401855
145,10010001,1011010110001001010001000011001110011101110110101000100101010011000000001000000110101000100101100001,898923707008479989274290850145,77.59475708007812
146,10010010,10010010110111011010100110001101010001100000100001110110101110010011110011100001101011010100000100001,1454489111232772683678306641953,91.47024154663086
147,10010011,11101101101000100100101110100111000101001111010110111011011000101011110100100010100000011000110000010,2353412818241252672952597492098,110.81314086914062
148,10010100,110000000011111111111010100110100010110101111111000110010000110111111101000000100001011101100110100011,3807901929474025356630904134051,87.99505233764648
149,10010101,1001101110001000100100000011011011011011111111001111101101011111101011011100100110101100000101100100101,6161314747715278029583501626149,95.56055068969727
150,10010110,1111101110101000100011011000001111110010101111001000011111100110101011000100101010110111110010011001000,9969216677189303386214405760200,90.1646614074707
151,10010111,11001011100110001000111011011101011001110101110011000001101000110010110100001010001100011110111111101101,16130531424904581415797907386349,90.2409553527832
152,10011000,101001001011011001101010110011111011000001011101100000101100101101000001100101111100011011101010010110101,26099748102093884802012313146549,90.73853492736816
153,10011001,1000010101000001010110010001111100110010000001011111000111001110011011000000111001101111111100010010100010,42230279526998466217810220532898,103.80268096923828
154,10011010,1101011110011100100011101000011100001010001101001011001100110100000011001101101001010011011001100101010111,68330027629092351019822533679447,91.47334098815918
155,10011011,10101110011011101111001111010011000111100001110101010010100000010011110001110100011000011010101110111111001,110560307156090817237632754212345,97.96309471130371
156,10011100,100011010001111010011101100010110101000110011011110101100000110110100001011100001100010110101111011101010000,178890334785183168257455287891792,94.99049186706543
157,10011101,111001000101011000010111011101001110000010101010011111110100111000111111101010101111011010000101010101001001,289450641941273985495088042104137,125.80418586730957
158,10011110,1011100010111010010110101000000000011001001000110010101010101101111100001000110111011110000110100110010011001,468340976726457153752543329995929,98.09279441833496
159,10011111,10010101011100101011001100011101010001001011110000110101001010101000100000110001101011001010111010000111100010,757791618667731139247631372100066,96.07481956481934
160,10100000,11110001110011111110000001011101010100010100110111001010100000011000000001111000100110111011101110111001111011,1226132595394188293000174702095995,115.6911849975586
161,10100001,110000111010000101001001101111010100101100000100111111111101011000000100010101010010010000110101001000001011101,1983924214061919432247806074196061,105.56387901306152
162,10100010,1001111001000100100111001111010111111001110101011111001010001011011000100100100010111001000010010111111011011000,3210056809456107725247980776292056,108.5054874420166
163,10100011,10000000000010101010000011101010010011111010110000111001001110110011001000111001101001011001001000000111100110101,5193981023518027157495786850488117,125.90169906616211
164,10100100,11001111001011001110111101100101010011001001011100110010100000001110001101011110000000100001011011000111000001101,8404037832974134882743767626780173,105.45229911804199
165,10100101,101001111001101111001000001001111100111000100001101101011101111000001010110010111101001111010100011001110101000010,13598018856492162040239554477268290,117.84911155700684
166,10100110,1000011110011001000111111110110100111010001101101010011110001111001111100011110101101010011011111110010101101001111,22002056689466296922983322104048463,114.59946632385254
167,10100111,1101101101100111000001000000000100100001010001111000001001111110010000111010001101010100010110100001100100010010001,35600075545958458963222876581316753,111.56058311462402
168,10101000,10110001100000000001000111110111001011011011111100010101000001101100000011110000010111110110010011111111001111100000,57602132235424755886206198685365216,112.19620704650879
169,10101001,100011111001100111001001111110111101111100110001011010110010001011110001011000010000010011001001000001011110001110001,93202207781383214849429075266681969,121.9186782836914
170,10101010,111010000101100111010010111101110111011000010000111101011010011001010001110110010011010001111011100001011000001010001,150804340016807970735635273952047185,138.10372352600098
171,10101011,1011101111111001110011100111100110101010101000010011000001100100101000011001110100011100101000100100010110110011000010,244006547798191185585064349218729154,126.23786926269531
172,10101100,10011000000100110101101111111010101100101101010011010101100110111110010101000100110110110111000000000100001110100010011,394810887814999156320699623170776339,149.9192714691162
173,10101101,11110110000100000100001100110111100010000010010101101101110011100011011000010011011010011100000100100111000100111010101,638817435613190341905763972389505493,128.63993644714355
174,10101110,110001110001000111001111100110010001110101111101001000011011010100001101101011000010001010011000100101011010011011101000,1033628323428189498226463595560281832,128.1607151031494
175,10101111,1010000100001100111110001001101001110000110001111110110001001110000101000101101011101011101111001001010010011000010111101,1672445759041379840132227567949787325,157.20081329345703
176,10110000,10000010010010101111000000110011011111111100001100111110100101000100110110011000011111101000010001101111101101011110100101,2706074082469569338358691163510069157,138.1247043609619
177,10110001,11010010110100010110110010000000101110000010011100110100101110110101011111000101111101000110001010111010000000100001100010,4378519841510949178490918731459856482,137.39800453186035
178,10110010,101010101000111000101110010110100001101111110101001110011010011111010010101011110011100101110011100101001101110000000000111,7084593923980518516849609894969925639,140.54346084594727
179,10110011,1000100111111011011100100100110100111100000001000110101000000010101111110100100100011001110100100111100011101110100001101001,11463113765491467695340528626429782121,142.25172996520996
180,10110100,1101111101000010100010010111101001001001111111110000011011010110101010001010000010110110100011000100001101011100100001110000,18547707689471986212190138521399707760,149.4920253753662
181,10110101,10110100100111101111110111100011110000110000000110111000011011001011001111110100111010000010111101011110001001011000011011001,30010821454963453907530667147829489881,742.2366142272949
182,10110110,100100100010000000100001010100000111010000000000100111011110110000000100001000101010000110111010101111111110100111100101001001,48558529144435440119720805669229197641,164.7660732269287
183,10110111,111011000110111110100000010000100101010110000001011110100010001001011110000111010001010111010010011011101111110010101000100010,78569350599398894027251472817058687522,140.6536102294922
184,10111000,1011111101000111111000001100100101100100110000010000110000000111001100010001111111011011110001101001011101110011010001101101011,127127879743834334146972278486287885163,148.91457557678223
185,10111001,10011010101111111101100001110101010001111100000011100100100011000011000000010111001100110101011111100111011110001100110110001101,205697230343233228174223751303346572685,155.01761436462402
186,10111010,11111010011000111100100011011001111110100010000101101010100011111100100010100111001000010011101100110011001100100111000011111000,332825110087067562321196029789634457848,151.32498741149902
187,10111011,110010101001000111010000101001111010000011110001001001111000110111111100010111110010101001001001100011010101010110011111010000101,538522340430300790495419781092981030533,147.27187156677246
188,10111100,1010001111100001110110101000101001001111000000001110111001101010111100000101100101011101011100111001001101110111011010111101111101,871347450517368352816615810882615488381,141.72863960266113
189,10111101,10000100100101010110000101101111000011111011110011000001000110001111011101000100011110010100110000101101000100010001110111000000010,1409869790947669143312035591975596518914,147.8116512298584
190,10111110,11010110100001100100111010110100001101110011110100111000010011100110111101110001001010000000010111110110110011001101001110101111111,2281217241465037496128651402858212007295,176.94425582885742
191,10111111,101011011000110111011000000100011010001101111100111111001011001110110011010110101101000010101001000100011110111011111000101110000001,3691087032412706639440686994833808526209,189.2852783203125
192,11000000,1000110001101000011111111011010111011111100011011100110001101101011101011000100110110010010101100000011010101010101100010100100000000,5972304273877744135569338397692020533504,174.38578605651855
193,11000001,1110001100101111011010111011111010110001010011000100101011000111010011110011011100011010101010101000111110100010001011011010010000001,9663391306290450775010025392525829059713,172.48773574829102
194,11000010,10110111110010111111010110111010010010000110110100001011100110100110001001100000011001101000000001001011001001100110111101110110000001,15635695580168194910579363790217849593217,178.10392379760742
195,11000011,100101001011000111010101110011001101000010001001100110000111111100000100111111011111100111101010110010010111101111000011001001000000010,25299086886458645685589389182743678652930,174.0555763244629
196,11000100,111100001001011111010000101010011111010011000000000111100100110000110110001011100010110100101010111011110000111011111010110111110000011,40934782466626840596168752972961528246147,170.7932949066162
197,11000101,1100001010100100110100110011101101100010101001001101101101100101100111011001011000010011100010101101110001000101010111110000000110000101,66233869353085486281758142155705206899077,185.03737449645996
198,11000110,10011101011110000101110111001000001011101000001001110101010001011101110001010110100101010001000000101001111001100110111000111000100001000,107168651819712326877926895128666735145224,166.0919189453125
199,11000111,11111110110010101100011101100101110111111101010011100010111110001010101100100001100111101101010110011000000010010001110110111001010001101,173402521172797813159685037284371942044301,210.49952507019043
200,11001000,110011100010000110010010100101110000011100101011101011000001111101000011101111000001100111110010111000001111011111000101111110001110010101,280571172992510140037611932413038677189525,178.4048080444336
201,11001001,1010011011000011011110110010010011111011100010110000111011001101110011001010011001110100101011101101011001111110001010100110101011000100010,453973694165307953197296969697410619233826,188.4598731994629
